Localitate,Carne,Peste,LegumeFructe,Uleiuri,Lactate,Morarit,Panificatie
Oras Stei,0.0,0.0,0.0,0.0,0.0,0.0,46.0
Oras Buftea,478.0,0.0,0.0,0.0,0.0,71.0,162.0
Nitchidorf,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Telciu,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Gheorghe Doja,0.0,0.0,0.0,0.0,0.0,2.0,20.0
Paltinoasa,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Suletea,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Municipiul Marghita,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Municipiul Oltenita,0.0,0.0,1.0,0.0,2.0,50.0,71.0
Danesti,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ileanda,0.0,0.0,0.0,0.0,0.0,0.0,41.0
Fulga,0.0,0.0,0.0,0.0,10.0,0.0,2.0
Mitreni,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Craiva,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Oras Nucet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dealu,0.0,0.0,0.0,0.0,0.0,0.0,51.0
Berzovia,77.0,0.0,0.0,0.0,0.0,0.0,0.0
Tritenii De Jos,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ortisoara,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Oras Ianca,340.0,0.0,0.0,0.0,0.0,0.0,79.0
Lunguletu,0.0,0.0,0.0,0.0,0.0,5.0,8.0
Municipiul Urziceni,229.0,0.0,0.0,1.0,0.0,0.0,48.0
Sacel,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Oras Salistea De Sus,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Municipiul Salonta,6.0,0.0,0.0,28.0,3.0,35.0,141.0
Peciu Nou,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Bozovici,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Salsig,0.0,0.0,0.0,0.0,21.0,0.0,0.0
Glodeni,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Oras Vascau,0.0,0.0,0.0,0.0,0.0,2.0,33.0
Gorgota,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Oras Insuratei,0.0,0.0,0.0,0.0,0.0,2.0,7.0
Adancata,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Municipiul Calarasi,967.0,5.0,7.0,0.0,0.0,60.0,325.0
Ip,1.0,0.0,0.0,0.0,0.0,0.0,25.0
Darjiu,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Periam,0.0,0.0,0.0,0.0,0.0,72.0,94.0
Oras Seini,2.0,0.0,0.0,0.0,0.0,0.0,33.0
Municipiul Slatina,3.0,0.0,38.0,0.0,0.0,233.0,500.0
Pojorata,0.0,3.0,0.0,0.0,12.0,0.0,0.0
Adunatii-Copaceni,0.0,0.0,0.0,0.0,0.0,0.0,43.0
Taga,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Gornesti,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Gornet,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Frumoasa,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Slatioara,20.0,0.0,0.0,0.0,0.0,6.0,0.0
Uriu,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Jirlau,0.0,0.0,0.0,0.0,0.0,0.0,56.0
Fartanesti,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Afumati,19.0,214.0,527.0,0.0,0.0,6.0,23.0
Marasu,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Pischia,0.0,0.0,0.0,0.0,0.0,10.0,6.0
Unguras,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Oras Bals,27.0,0.0,0.0,0.0,0.0,0.0,19.0
Suciu De Sus,0.0,0.0,0.0,0.0,18.0,0.0,1.0
Municipiul Slobozia,78.0,0.0,0.0,532.0,17.0,2.0,82.0
Alexeni,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Frumusita,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Municipiul Fetesti,9.0,0.0,0.0,0.0,0.0,1.0,19.0
Abramut,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Municipiul Caracal,526.0,0.0,46.0,5.0,0.0,42.0,113.0
Racovita,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Vad,0.0,0.0,0.0,0.0,0.0,14.0,0.0
Maxineni,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Suseni,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gurghiu,49.0,0.0,0.0,0.0,3.0,0.0,4.0
Auseu,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Joseni,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Oras Tandarei,16.0,0.0,0.0,0.0,0.0,124.0,3.0
Zagra,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Oras Corabia,0.0,0.0,0.0,0.0,2.0,0.0,10.0
Balotesti,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Oras Recas,0.0,0.0,0.0,0.0,38.0,0.0,41.0
Mircea Voda,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Albesti,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ghioroc,0.0,0.0,1.0,0.0,0.0,0.0,52.0
Oras Somcuta Mare,0.0,0.0,0.0,0.0,0.0,35.0,36.0
Tutova,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Baneasa,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Lueta,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Avram Iancu,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Municipiul Focsani,43.0,0.0,42.0,0.0,56.0,74.0,223.0
Viisoara,0.0,0.0,1.0,0.0,0.0,4.0,4.0
Sadova,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Izvoarele,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Constantin Daicoviciu,60.0,0.0,0.0,0.0,0.0,0.0,0.0
Oras Amara,22.0,0.0,0.0,0.0,0.0,0.0,1.0
Stefan Cel Mare,0.0,0.0,0.0,0.0,0.0,59.0,38.0
Lunca De Jos,0.0,0.0,0.0,0.0,2.0,0.0,87.0
Hodac,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Satu Mare,3.0,0.0,0.0,0.0,0.0,5.0,0.0
Oras Draganesti-Olt,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Remetea Mare,0.0,49.0,0.0,0.0,0.0,0.0,0.0
Campineanca,5.0,0.0,0.0,0.0,0.0,0.0,1.0
Gurahont,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Suici,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gohor,0.0,0.0,0.0,1.0,0.0,1.0,22.0
Oras Ulmeni,0.0,0.0,0.0,7.0,0.0,0.0,29.0
Golesti,0.0,0.0,3.0,0.0,0.0,0.0,4.0
Valeni,304.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacosu Turcesc,0.0,0.0,0.0,0.0,6.0,0.0,3.0
Batar,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Mesesenii De Jos,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Romanu,0.0,0.0,0.0,0.0,0.0,1.0,7.0
Teiu,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Municipiul Adjud,14.0,0.0,0.0,0.0,0.0,13.0,16.0
Grivita,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Vetrisoaia,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Lunca De Sus,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Berceni,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Borcea,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Rosiori,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Bolintin-Deal,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Biharia,0.0,0.0,0.0,0.0,0.0,0.0,42.0
Ibanesti,0.0,0.0,0.0,0.0,86.0,0.0,15.0
Pietrosita,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ivesti,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Satchinez,0.0,0.0,0.0,0.0,0.0,20.0,418.0
Oras Bolintin-Vale,0.0,0.0,0.0,0.0,0.0,0.0,134.0
Oras Marasesti,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Lupeni,0.0,0.0,0.0,0.0,198.0,0.0,24.0
Bucu,0.0,0.0,0.0,0.0,0.0,0.0,63.0
Copacele,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Oras Baia De Aries,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Sacalaz,3.0,0.0,0.0,0.0,0.0,0.0,65.0
Vima Mica,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Liesti,45.0,0.0,0.0,0.0,0.0,0.0,100.0
Sucevita,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Municipiul Botosani,406.0,0.0,1.0,2.0,39.0,13.0,586.0
Cornea,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Matca,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Magureni,283.0,0.0,0.0,0.0,0.0,0.0,2.0
Iclanzel,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Oras Odobesti,266.0,0.0,0.0,0.0,0.0,1.0,8.0
Berghin,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Curtesti,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Mastacani,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Martinis,0.0,0.0,0.0,0.0,14.0,0.0,7.0
Viseu De Jos,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Oras Panciu,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Maneciu,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Ciulnita,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Sanmihaiu Roman,15.0,0.0,0.0,0.0,40.0,0.0,77.0
Bors,22.0,0.0,0.0,0.0,0.0,2.0,78.0
Todiresti,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rachiti,85.0,0.0,0.0,0.0,145.0,0.0,0.0
Municipiul Constanta,61.0,0.0,28.0,232.0,415.0,731.0,1277.0
Brastavatu,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Oras Racari,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Stancuta,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Bratca,0.0,0.0,0.0,0.0,3.0,0.0,23.0
Oras Eforie,6.0,0.0,0.0,0.0,0.0,2.0,13.0
Stauceni,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Brebeni,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Sag,0.0,0.0,0.0,0.0,0.0,3.0,11.0
Udesti,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Municipiul Mangalia,177.0,0.0,0.0,0.0,1.0,0.0,32.0
Oras Iernut,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Brancoveni,0.0,0.0,0.0,0.0,0.0,25.0,3.0
Surdila-Gaiseanca,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Mihaileni,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Oras Navodari,0.0,0.0,0.0,0.0,6.0,0.0,68.0
Oras Darabani,174.0,0.0,0.0,0.0,0.0,0.0,12.0
Sutesti,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Brusturi,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Oras Techirghiol,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Vutcani,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Barsesti,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Mugeni,0.0,0.0,0.0,0.0,0.0,0.0,37.0
Teremia Mare,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Cezieni,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Agigea,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Municipiul Dorohoi,0.0,0.0,0.0,0.0,30.0,0.0,59.0
Pechea,0.0,0.0,0.0,0.0,0.0,1.0,13.0
Ulma,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Tomesti,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Dor Marunt,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Piscu,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Budureasa,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Municipiul Drobeta-Turnu Severin,63.0,0.0,0.0,0.0,13.0,7.0,416.0
Carlogani,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Limanu,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Oras Saveni,0.0,0.0,0.0,0.0,3.0,0.0,2.0
Vadu Moldovei,0.0,0.0,0.0,0.0,0.0,1.0,13.0
Lunca,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Simian,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Bolotesti,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Oras Ovidiu,0.0,0.0,0.0,0.0,17.0,0.0,1.0
Rediu,0.0,0.0,0.0,0.0,0.0,0.0,78.0
Bulz,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Calugareni,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Ulmu,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Dragalina,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tuzla,1.0,0.0,0.0,0.0,0.0,8.0,0.0
Tormac,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Oras Pecica,0.0,0.0,0.0,0.0,28.0,0.0,117.0
Buntesti,0.0,0.0,0.0,0.0,0.0,0.0,65.0
Praid,0.0,0.0,0.0,0.0,0.0,0.0,49.0
Traian Vuia,0.0,0.0,0.0,0.0,0.0,43.0,0.0
Schela,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Oras Baia De Arama,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Oras Cernavoda,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Slobozia Conachi,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Oras Harsova,8.0,0.0,0.0,0.0,24.0,0.0,1.0
Muntenii De Sus,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Facaeni,0.0,0.0,0.0,7.0,0.0,17.0,0.0
Pochidia,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Vama,0.0,0.0,0.0,0.0,2.0,0.0,18.0
Gheorghe Doja,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Uivar,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Remetea,0.0,0.0,0.0,0.0,64.0,0.0,6.0
Smardan,0.0,0.0,0.0,0.0,0.0,0.0,143.0
Doclin,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Visani,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Municipiul Medgidia,4.0,0.0,2.0,23.0,0.0,0.0,147.0
Gheorghe Lazar,31.0,0.0,0.0,0.0,0.0,0.0,0.0
Chiselet,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Baluseni,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ciorasti,0.0,0.0,0.0,0.0,7.0,16.0,0.0
Municipiul Orsova,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Zavoaia,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tudor Vladimirescu,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Oras Miercurea Nirajului,0.0,0.0,0.0,0.0,26.0,0.0,60.0
Ciolpani,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Tulucesti,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Grindu,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Ezeris,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Sarmas,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Victor Vlad Delamarina,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Vladesti,0.0,0.0,42.0,0.0,0.0,0.0,0.0
Sarmasag,0.0,0.0,0.0,0.0,0.0,249.0,0.0
Oras Strehaia,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Vicovu De Jos,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Farliug,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Municipiul Ramnicu Valcea,559.0,0.0,301.0,0.0,1.0,1063.0,2761.0
Campuri,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Oras Vicovu De Sus,0.0,0.0,0.0,0.0,37.0,17.0,12.0
Tepu,0.0,0.0,0.0,5.0,0.0,0.0,27.0
Ciorogarla,8.0,0.0,0.0,0.0,0.0,1.0,0.0
Secuieni,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Volovat,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cefa,34.0,0.0,0.0,0.0,0.0,0.0,10.0
Oras Bucecea,0.0,0.0,0.0,0.0,16.0,0.0,0.0
Voiteg,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Jegalia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Siculeni,18.0,0.0,18.0,0.0,0.0,0.0,0.0
Vacaresti,0.0,0.0,0.0,0.0,0.0,0.0,68.0
Clinceni,0.0,0.0,0.0,0.0,0.0,0.0,823.0
Calarasi,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Oras Vanju Mare,0.0,0.0,0.0,0.0,0.0,49.0,0.0
Dudestii Noi,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Valea Marului,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Garnic,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Sancraieni,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Valeni-Dambovita,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Oras Lehliu Gara,0.0,0.0,0.0,149.0,0.0,0.0,8.0
Parta,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Padureni,0.0,0.0,0.0,0.0,0.0,0.0,74.0
Bala,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Comana,0.0,0.0,0.0,0.0,0.0,170.0,0.0
Lupsanu,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sandra,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Valcani,0.0,0.0,0.0,0.0,0.0,2.0,4.0
Dobrosloveni,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sandominic,2.0,0.0,5.0,0.0,0.0,0.0,1.0
Corbeanca,2.0,0.0,1.0,0.0,0.0,0.0,41.0
Municipiul Buzau,966.0,0.0,44.0,293.0,0.0,494.0,566.0
Oras Baile Olanesti,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Sanmartin,0.0,0.0,0.0,0.0,0.0,0.0,54.0
Otelec,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mihail Kogalniceanu,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Municipiul Ramnicu Sarat,0.0,0.0,36.0,1.0,80.0,39.0,185.0
Ogra,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Zvoristea,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Oras Santana,1.0,0.0,0.0,0.0,31.0,0.0,34.0
Dumbraveni,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Cornetu,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Municipiul Bacau,2067.0,0.0,0.0,4.0,50.0,532.0,589.0
Lapusnicel,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cherechiu,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Sansimion,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Hemeius,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Socodor,0.0,0.0,0.0,0.0,15.0,0.0,11.0
Cosereni,51.0,0.0,0.0,0.0,0.0,0.0,0.0
Dumitresti,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Rafov,0.0,0.0,0.0,0.0,0.0,12.0,0.0
Oras Brezoi,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Municipiul Tulcea,518.0,0.0,126.0,0.0,35.0,1.0,259.0
Cobadin,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Iaslovat,0.0,0.0,0.0,0.0,8.0,0.0,28.0
Ciocanesti,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Oras Babadag,0.0,0.0,0.0,0.0,16.0,0.0,0.0
Suseni,0.0,0.0,0.0,0.0,17.0,0.0,0.0
Panet,0.0,0.0,0.0,0.0,103.0,7.0,0.0
Serbauti,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Horodnic De Sus,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Magura,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Cogealac,0.0,0.0,0.0,0.0,0.0,24.0,33.0
Oras Isaccea,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Cotusca,0.0,0.0,0.0,0.0,9.0,0.0,7.0
Beceni,4.0,0.0,0.0,0.0,0.0,0.0,36.0
Perieti,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Sicula,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasareni,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Oras Calimanesti,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Salciile,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Oras Macin,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Margineni,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Municipiul Targu Jiu,539.0,0.0,12.0,0.0,0.0,2.0,325.0
Ciumeghiu,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Oras Sulina,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Mehadia,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Pogaceaua,0.0,0.0,0.0,0.0,0.0,0.0,27.0
Farcasele,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Baia,0.0,0.0,0.0,0.0,7.0,0.0,7.0
Berca,5.0,0.0,0.0,0.0,0.0,0.0,78.0
Municipiul Dragasani,0.0,0.0,0.0,0.0,0.0,0.0,159.0
Secaria,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Reviga,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Siria,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Municipiul Onesti,39.0,0.0,0.0,0.0,0.0,176.0,415.0
Garoafa,0.0,0.0,1.0,0.0,0.0,0.0,4.0
Balesti,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Municipiul Sibiu,1519.0,0.0,2.0,0.0,103.0,386.0,1000.0
Ganeasa,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Cociuba Mare,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Roseti,0.0,0.0,0.0,0.0,0.0,0.0,54.0
Oras Horezu,0.0,0.0,0.0,0.0,20.0,0.0,42.0
Obreja,0.0,0.0,0.0,0.0,0.0,0.0,49.0
Cristian,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Municipiul Turnu Magurele,4.0,0.0,0.0,0.0,0.0,0.0,117.0
Poplaca,544.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Decembrie,149.0,0.0,0.0,0.0,0.0,0.0,9.0
Daia Romana,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Copacel,0.0,0.0,0.0,0.0,14.0,0.0,0.0
Starchiojd,93.0,0.0,0.0,0.0,0.0,0.0,0.0
Dersca,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Breznita-Motru,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Ciuperceni,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Rasinari,2.0,0.0,0.0,0.0,0.0,0.0,6.0
Domnesti,19.0,0.0,0.0,0.0,0.0,0.0,13.0
Gugesti,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Cumpana,25.0,0.0,0.0,0.0,0.0,0.0,8.0
Dragutesti,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Gradinari,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Selimbar,0.0,0.0,0.0,0.0,4.0,0.0,173.0
Carcaliu,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Dragomiresti-Vale,151.0,0.0,0.0,0.0,0.0,0.0,8.0
Tarnova,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Breznita-Ocol,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Municipiul Alexandria,137.0,0.0,0.0,8.0,0.0,10.0,255.0
Dragoesti,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Coronini,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Municipiul Medias,6.0,0.0,11.0,0.0,0.0,14.0,174.0
Turcinesti,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Nanov,0.0,0.0,0.0,0.0,79.0,9.0,134.0
Municipiul Craiova,29.0,0.0,1.0,11.0,32.0,30.0,1318.0
Galda De Jos,251.0,0.0,0.0,0.0,617.0,0.0,8.0
Ianca,0.0,0.0,0.0,0.0,0.0,7.0,15.0
Poroschia,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Tarnava,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Alunu,0.0,0.0,0.0,0.0,0.0,0.0,95.0
Oras Buhusi,10.0,182.0,0.0,0.0,0.0,1.0,44.0
Municipiul Motru,66.0,0.0,9.0,0.0,0.0,3.0,347.0
Municipiul Rosiori De Vede,9.0,0.0,0.0,0.0,0.0,16.0,119.0
Homocea,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Oras Agnita,0.0,0.0,0.0,0.0,0.0,0.0,83.0
Prigor,4.0,0.0,0.0,0.0,12.0,0.0,0.0
Bucovat,3.0,0.0,0.0,0.0,0.0,0.0,4.0
Oras Comanesti,0.0,0.0,0.0,3.0,0.0,25.0,132.0
Oras Fierbinti-Targ,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Zetea,32.0,0.0,0.0,0.0,0.0,0.0,8.0
Vinga,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Stefan Cel Mare,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Oras Videle,0.0,0.0,0.0,0.0,16.0,0.0,65.0
Derna,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Rusii-Munti,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Stefan Voda,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Oras Cisnadie,8.0,0.0,3.0,0.0,0.0,37.0,70.0
Jaristea,0.0,0.0,0.0,0.0,0.0,1.0,134.0
Cerna,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Garbova,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Floresti-Stoenesti,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Municipiul Moinesti,29.0,0.0,0.0,0.0,10.0,0.0,122.0
Varfurile,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Oras Copsa Mica,14.0,0.0,0.0,0.0,0.0,0.0,24.0
Oras Flamanzi,0.0,0.0,0.0,12.0,0.0,0.0,14.0
Diosig,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Madaras,0.0,0.0,0.0,0.0,32.0,0.0,145.0
Saschiz,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Oras Zimnicea,0.0,0.0,0.0,49.0,68.0,0.0,16.0
Independenta,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Oras Novaci,0.0,0.0,0.0,0.0,18.0,0.0,38.0
Oras Babeni,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Bradeanu,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Oras Dumbraveni,0.0,0.0,0.0,0.0,0.0,0.0,54.0
