Localitate,Carne,Peste,LegumeFructe,Uleiuri,Lactate,Morarit,Panificatie
Oras Jibou,0.0,0.0,0.0,0.0,0.0,4.0,14.0
Oras Dolhasca,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Atintis,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Oras Urlati,2.0,0.0,0.0,0.0,0.0,315.0,91.0
Ivanesti,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Gilau,80.0,0.0,0.0,0.0,1.0,1.0,8.0
Carpinis,0.0,0.0,0.0,0.0,345.0,0.0,0.0
Sanduleni,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Piatra Soimului,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Cenad,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Scanteia,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Oras Simleu Silvaniei,4.0,0.0,0.0,0.0,12.0,0.0,51.0
Terpezita,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Cenei,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Vintu De Jos,0.0,0.0,0.0,0.0,0.0,1.0,21.0
Turburea,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Dolhesti,0.0,0.0,0.0,0.0,19.0,1.0,0.0
Saucesti,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Baiut,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Poiana Marului,651.0,0.0,0.0,0.0,0.0,0.0,26.0
Cheveresu Mare,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Baleni,0.0,0.0,0.0,0.0,0.0,60.0,0.0
Lechinta,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Dorna-Arini,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Scobinti,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tintesti,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Band,0.0,0.0,0.0,0.0,1.0,0.0,12.0
Prejmer,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Oras Ciacova,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Pangarati,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Racos,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Ulmeni,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorna Candrenilor,0.0,0.0,0.0,0.0,465.0,0.0,2.0
Oras Valenii De Munte,0.0,0.0,0.0,0.0,0.0,1.0,161.0
Gura Vitioarei,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Livezile,0.0,0.0,0.0,0.0,0.0,0.0,49.0
Podoleni,0.0,0.0,0.0,0.0,0.0,2.0,14.0
Iclod,0.0,0.0,0.0,0.0,33.0,0.0,16.0
Barsana,0.0,0.0,0.0,0.0,14.0,0.0,0.0
Costeiu,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Batos,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Bucerdea Granoasa,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Lunca Ilvei,0.0,0.0,0.0,0.0,43.0,0.0,20.0
Dornesti,0.0,0.0,6.0,0.0,0.0,0.0,1.0
Valea Stanciului,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Maieru,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Bocicoiu Mare,0.0,0.0,0.0,0.0,3.0,0.0,11.0
Sercaia,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Albesti-Paleologu,0.0,0.0,0.0,0.0,0.0,0.0,47.0
Valea Ramnicului,0.0,0.0,0.0,0.0,1.0,0.0,8.0
Vela,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Matei,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bogdan Voda,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Vladimir,0.0,0.0,0.0,0.0,0.0,0.0,28.0
Poiana Teiului,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Jucu,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Boiu Mare,0.0,0.0,0.0,0.0,29.0,0.0,0.0
Bucsani,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sarmizegetusa,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Balauseri,0.0,0.0,0.0,0.0,0.0,0.0,256.0
Vernesti,0.0,0.0,3.0,0.0,0.0,0.0,104.0
Sinesti,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Sanpetru,0.0,0.0,0.0,0.0,0.0,12.0,10.0
Luna,0.0,0.0,1.0,1.0,0.0,1.0,3.0
Dumbraveni,34.0,0.0,0.0,0.0,0.0,2.0,3.0
Oras Rovinari,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Botiza,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Candesti,0.0,0.0,2.0,0.0,0.0,1.0,2.0
Aricestii Rahtivani,27.0,0.0,0.0,0.0,0.0,1.0,0.0
Salasu De Sus,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Municipiul Alba Iulia,376.0,97.0,3.0,0.0,3.0,0.0,293.0
Bobota,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Beica De Jos,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Budesti,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Tarlungeni,0.0,0.0,0.0,0.0,0.0,0.0,66.0
Cobia,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Manastireni,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Forasti,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Dudestii Vechi,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Sipote,0.0,0.0,0.0,0.0,28.0,0.0,0.0
Municipiul Arad,1141.0,0.0,64.0,0.0,18.0,45.0,744.0
Ciugud,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Vintila Voda,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Micestii De Campie,0.0,0.0,0.0,0.0,40.0,0.0,0.0
Cernesti,0.0,0.0,0.0,0.0,44.0,0.0,0.0
Fantanele,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Muntenii De Jos,0.0,0.0,0.0,1.0,0.0,0.0,6.0
Mosoaia,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Milas,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Buciumi,0.0,0.0,0.0,0.0,3.0,20.0,0.0
Tamasi,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Ticusu,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Carcea,0.0,0.0,0.0,0.0,626.0,0.0,24.0
Carna,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Ucea,244.0,0.0,0.0,0.0,4.0,0.0,10.0
Oras Murgeni,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Oras Abrud,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Oras Faget,0.0,0.0,0.0,0.0,217.0,0.0,14.0
Breaza,0.0,0.0,20.0,0.0,19.0,0.0,15.0
Cicarlau,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Sofronea,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Camar,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Monor,0.0,0.0,0.0,0.0,185.0,0.0,0.0
Mozaceni,0.0,0.0,0.0,0.0,0.0,0.0,66.0
Comisani,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Stoenesti,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Vladimirescu,0.0,0.0,0.0,0.0,0.0,0.0,7.0
