Locality,Shannon-Weaver entropy
Moraresti,0.0
Mosoaia,0.04166360353368385
Mozaceni,0.0
Musatesti,0.09157925412458578
Negrasi,0.08816461102229328
Nucsoara,0.0
Oarja,0.18999075553626754
Pietrosani,0.29021607724122944
Poienarii De Arges,0.10968687895667578
Poienarii De Muscel,0.3972121072813144
Poiana Lacului,0.010587031276214433
Popesti,0.0
Priboieni,0.14861710468454456
Ratesti,0.38286066954109604
Recea,0.18985622062343682
Rociu,0.03339033672004857
Rucar,0.08944958615361809
Salatrucu,0.04953720793471306
Sapata,0.023636873514522524
Schitu Golesti,0.6208701507625026
Slobozia,0.13336791643225604
Stalpeni,0.0440569828651504
Stoenesti,0.5435644431995964
Stolnici,0.2051028321863354
Suseni,0.07040112907799836
Stefan Cel Mare,0.0
Suici,0.0
Teiu,0.14431028218639022
Tigveni,0.034280386319742936
Titesti,0.21715744177739027
Uda,0.0
Ungheni,0.0
Valea Danului,0.0
Valea Iasului,0.0
Vedea,0.0
Vladesti,0.46763990530542066
Raca,0.0
Vulturesti,0.15943849048637668
Bughea De Sus,0.8957430109609616
Municipiul Bacau,0.12425864285227661
Hemeius,0.04421580825141773
Letea Veche,0.017327315452578797
Magura,0.0178315204687243
Margineni,0.025676657365486598
Municipiul Onesti,0.10597936229883678
Gura Vaii,0.40024765957791286
Stefan Cel Mare,0.7161705054596024
Oras Buhusi,0.48351473820881496
Oras Comanesti,0.25889237339945137
Municipiul Moinesti,0.33448764533459413
Oras Slanic-Moldova,0.020640847264685624
Oras Targu Ocna,0.15127494913258258
Agas,0.2853719594990555
Ardeoani,0.0
Asau,0.20657018010970526
Balcani,0.3147309984646066
Beresti-Bistrita,0.4967516514406406
Beresti-Tazlau,0.007089904400475189
Berzunti,0.45979343199287226
Barsanesti,0.040500004823298484
Blagesti,0.5590213416544163
Bogdanesti,0.0
Brusturoasa,0.0600465130015051
Buhoci,0.02086864699970189
Casin,0.13656896149451794
Caiuti,0.15072048922292144
Cleja,0.31026100966802894
Colonesti,0.0
Corbasca,0.937969916118305
Cotofanesti,0.8425469891685472
Damienesti,0.01896397257473527
Oras Darmanesti,0.43021306394883113
Dealu Morii,0.0
Dofteana,0.10695572392009062
Faraoani,0.2912550122251259
Filipeni,0.0
Filipesti,0.20715276319990408
Gaiceana,0.09837660937695644
Ghimes-Faget,1.1877456342176433
Garleni,0.12169198296140392
Glavanesti,0.052412761336529966
Helegiu,0.0
Horgesti,0.01736968047109339
Huruiesti,0.0
Izvoru Berheciului,0.0
Lipova,0.034135028353378706
Livezi,0.3463495553540657
Luizi-Calugara,0.0868607029902373
Magiresti,0.0
Manastirea Casin,0.02653562001528749
Motoseni,0.0
Negri,0.0
Nicolae Balcescu,0.18169675905077376
Oituz,0.017647787945865877
Oncesti,0.0
Orbeni,0.009613510837360976
Palanca,0.0564809135055005
Parava,0.6697980133627514
Parincea,0.1222072418584379
Pancesti,0.16707897546937026
Pargaresti,0.023559522827969585
Parjol,0.3757901930386465
Plopana,0.02772205028551738
Podu Turcului,0.0
Poduri,0.2161735082402838
Racova,0.0
Racaciuni,0.5605535888504165
Rachitoasa,0.08658973687462251
Rosiori,0.0
Sascut,0.19187025670505597
Sanduleni,0.03309077432661515
Saucesti,0.045300558397104666
Scorteni,0.11956947038122212
Secuieni,0.0
Solont,0.1185377326056889
Stanisesti,0.0
Strugari,0.06724497825468216
Tamasi,0.0
Tatarasti,0.0
Targu Trotus,0.015745361531097863
Traian,0.0
Ungureni,0.0
Urechesti,0.03058102269011384
Valea Seaca,0.9424776952989466
Vultureni,0.020707106538553885
Zemes,0.0
Sarata,0.0
Buciumi,0.8061584814382665
Gioseni,0.14404182739384205
Odobesti,0.0
Prajesti,0.0
Itesti,0.05672213496141157
Municipiul Oradea,0.9862086338514612
Sanmartin,0.6822395122091228
Santandrei,0.9190763251932164
Oras Alesd,1.4974420942827922
Astileu,0.6927195332532871
Municipiul Beius,0.5839522171982431
Oras Stei,0.23401005888990842
Municipiul Marghita,1.3068510932393727
Oras Nucet,0.4797625832650281
Municipiul Salonta,1.1550055391357914
Oras Vascau,0.2624001646037998
Abram,0.9241906927992827
Abramut,1.41138625284443
Auseu,0.7742733144124492
Avram Iancu,1.089837738287441
Balc,1.343970219071044
Batar,1.3625774226485166
Biharia,0.7527334832250985
Boianu Mare,0.3694778748248926
Borod,0.8767275027595232
Bors,0.6257816402922113
Bratca,0.35210648703329855
Brusturi,0.8402581862605424
Budureasa,0.7925181351690225
Buduslau,0.3244809762691599
Bulz,0.21326790538802662
Buntesti,0.03799420337393711
Cabesti,0.1303753652795816
Capalna,0.8010167420203863
Carpinet,0.206285414677058
Cefa,0.8230136938803043
Ceica,0.10705290470302727
Cetariu,0.785304707258912
Cherechiu,0.3304450109208227
Chislaz,1.2479476352909018
Ciuhoi,1.240595507818506
Ciumeghiu,1.4987544798994608
Campani,0.0
Cociuba Mare,0.4702143181811077
Copacel,0.5820034793976452
Cristioru De Jos,0.17352942092140217
Curatele,0.11337079611969272
Curtuiseni,1.2970133588866364
Derna,1.1461661682244602
Diosig,1.495851807159512
Dobresti,0.6505269608486879
Draganesti,0.5608555323552821
Dragesti,0.9428374860952593
Finis,1.279570302248271
Girisu De Cris,1.2262947996189748
Hidiselu De Sus,0.37635145089716315
Holod,0.8225216701021858
Husasau De Tinca,0.8220962388875475
Ineu,1.2945295136130968
Lazuri De Beius,0.0
Lazareni,0.8409286384870365
Lugasu De Jos,1.760050695000991
Lunca,0.11212587017850685
Madaras,0.9005916031707425
Magesti,0.6052798423282993
Nojorid,0.49214682839828944
Olcea,0.5782075859422415
Osorhei,1.23242968122075
Pietroasa,0.3789245694035278
Pocola,0.10169670021341146
Pomezeu,0.18889932637842927
Popesti,1.1029420671411063
Rabagani,0.4945564162674462
Remetea,0.9414003688182713
Rieni,0.5664493533338429
Rosia,0.0
Sacadat,0.5647210924737273
Oras Sacueni,0.9645863078664405
